Datum,Reihe,Wert
1701-01-01,Zufallsreihe I,1.72
1701-01-01,Zufallsreihe II,0.67
1701-01-08,Zufallsreihe I,-1.78
1701-01-08,Zufallsreihe II,-0.73
1701-01-15,Zufallsreihe I,0.77
1701-01-15,Zufallsreihe II,0.19
1701-01-22,Zufallsreihe I,-0.47
1701-01-22,Zufallsreihe II,-1.57
1701-01-29,Zufallsreihe I,-0.48
1701-01-29,Zufallsreihe II,0.65
1701-02-05,Zufallsreihe I,2.26
1701-02-05,Zufallsreihe II,-0.68
1701-02-12,Zufallsreihe I,0.98
1701-02-12,Zufallsreihe II,-1.07
1701-02-19,Zufallsreihe I,0.22
1701-02-19,Zufallsreihe II,-0.22
1701-02-26,Zufallsreihe I,1.31
1701-02-26,Zufallsreihe II,1.33
1701-03-05,Zufallsreihe I,1.41
1701-03-05,Zufallsreihe II,-0.21
1701-03-12,Zufallsreihe I,0.25
1701-03-12,Zufallsreihe II,-0.26
1701-03-19,Zufallsreihe I,0.58
1701-03-19,Zufallsreihe II,-0.12
1701-03-26,Zufallsreihe I,-0.18
1701-03-26,Zufallsreihe II,-0.22
1701-04-02,Zufallsreihe I,1.05
1701-04-02,Zufallsreihe II,0.4
1701-04-09,Zufallsreihe I,-0.33
1701-04-09,Zufallsreihe II,0.14
1701-04-16,Zufallsreihe I,1.4
1701-04-16,Zufallsreihe II,0.94
1701-04-23,Zufallsreihe I,-0.48
1701-04-23,Zufallsreihe II,1.24
1701-04-30,Zufallsreihe I,-0.12
1701-04-30,Zufallsreihe II,0.25
1701-05-07,Zufallsreihe I,-1.05
1701-05-07,Zufallsreihe II,-0.61
1701-05-14,Zufallsreihe I,-1.5
1701-05-14,Zufallsreihe II,-1.35
1701-05-21,Zufallsreihe I,-0.14
1701-05-21,Zufallsreihe II,0.8
1701-05-28,Zufallsreihe I,1.91
1701-05-28,Zufallsreihe II,1.23
1701-06-04,Zufallsreihe I,-0.33
1701-06-04,Zufallsreihe II,1.07
1701-06-11,Zufallsreihe I,0.16
1701-06-11,Zufallsreihe II,0.2
1701-06-18,Zufallsreihe I,0.35
1701-06-18,Zufallsreihe II,1.63
1701-06-25,Zufallsreihe I,1.9
1701-06-25,Zufallsreihe II,-1.74
1701-07-02,Zufallsreihe I,0.85
1701-07-02,Zufallsreihe II,-2.89
1701-07-09,Zufallsreihe I,-1.5
1701-07-09,Zufallsreihe II,1.28
1701-07-16,Zufallsreihe I,-0.84
1701-07-16,Zufallsreihe II,-0.47
1701-07-23,Zufallsreihe I,-0.21
1701-07-23,Zufallsreihe II,-0.34
1701-07-30,Zufallsreihe I,-1.89
1701-07-30,Zufallsreihe II,-0.13
1701-08-06,Zufallsreihe I,0.67
1701-08-06,Zufallsreihe II,1.67
1701-08-13,Zufallsreihe I,-0.25
1701-08-13,Zufallsreihe II,1.4
1701-08-20,Zufallsreihe I,0.57
1701-08-20,Zufallsreihe II,0.71
1701-08-27,Zufallsreihe I,0.56
1701-08-27,Zufallsreihe II,-0.58
1701-09-03,Zufallsreihe I,0.13
1701-09-03,Zufallsreihe II,-0.96
1701-09-10,Zufallsreihe I,-0.68
1701-09-10,Zufallsreihe II,1.34
1701-09-17,Zufallsreihe I,-0.57
1701-09-17,Zufallsreihe II,0.4
1701-09-24,Zufallsreihe I,0.82
1701-09-24,Zufallsreihe II,1.74
1701-10-01,Zufallsreihe I,-0.21
1701-10-01,Zufallsreihe II,-1.5
1701-10-08,Zufallsreihe I,-0.95
1701-10-08,Zufallsreihe II,-0.48
1701-10-15,Zufallsreihe I,-0.82
1701-10-15,Zufallsreihe II,1.3
1701-10-22,Zufallsreihe I,1.02
1701-10-22,Zufallsreihe II,-1.41
1701-10-29,Zufallsreihe I,0.41
1701-10-29,Zufallsreihe II,-0.07
1701-11-05,Zufallsreihe I,-0.35
1701-11-05,Zufallsreihe II,-0.41
1701-11-12,Zufallsreihe I,0.52
1701-11-12,Zufallsreihe II,0.65
1701-11-19,Zufallsreihe I,0.87
1701-11-19,Zufallsreihe II,-0.85
1701-11-26,Zufallsreihe I,0.32
1701-11-26,Zufallsreihe II,1.06
1701-12-03,Zufallsreihe I,-0.35
1701-12-03,Zufallsreihe II,-1.97
1701-12-10,Zufallsreihe I,-0.03
1701-12-10,Zufallsreihe II,-0.43
1701-12-17,Zufallsreihe I,0.31
1701-12-17,Zufallsreihe II,0.85
1701-12-24,Zufallsreihe I,0.7
1701-12-24,Zufallsreihe II,1.01
1701-12-31,Zufallsreihe I,0.66
1701-12-31,Zufallsreihe II,-0.55
